Topic,Date,Rank,Headline
Taxation,08/03/2021,2,test headline
Copyright,08/03/2021,5,test headline
Censorship,08/03/2021,9,test headline
Politics,08/03/2021,7,test headline
Brand,08/03/2021,1,test headline
Access,08/03/2021,4,test headline
Privacy,08/03/2021,3,test headline
Content,08/03/2021,8,test headline
Behaviour,08/03/2021,10,test headline
Competition,08/03/2021,6,test headline
Competition,01/03/2021,8,test headline
Censorship,01/03/2021,10,test headline
Politics,01/03/2021,9,test headline
Access,01/03/2021,3,test headline
Privacy,01/03/2021,4,test headline
Taxation,01/03/2021,5,test headline
Behaviour,01/03/2021,6,test headline
Brand,01/03/2021,1,test headline
Copyright,01/03/2021,2,test headline
Content,01/03/2021,7,test headline
Access,22/02/2021,5,test headline
Competition,22/02/2021,4,test headline
Privacy,22/02/2021,6,test headline
Politics,22/02/2021,9,test headline
Brand,22/02/2021,3,test headline
Behaviour,22/02/2021,8,test headline
Copyright,22/02/2021,2,test headline
Content,22/02/2021,10,test headline
Censorship,22/02/2021,7,test headline
Taxation,22/02/2021,1,test headline
Copyright,15/02/2021,1,test headline
Politics,15/02/2021,10,test headline
Taxation,15/02/2021,2,test headline
Access,15/02/2021,4,test headline
Competition,15/02/2021,5,test headline
Privacy,15/02/2021,6,test headline
Brand,15/02/2021,3,test headline
Behaviour,15/02/2021,7,test headline
Content,15/02/2021,8,test headline
Censorship,15/02/2021,9,test headline
Taxation,08/02/2021,2,test headline
Access,08/02/2021,3,test headline
Brand,08/02/2021,5,test headline
Copyright,08/02/2021,1,test headline
Behaviour,08/02/2021,6,test headline
Censorship,08/02/2021,7,test headline
Content,08/02/2021,9,test headline
Privacy,08/02/2021,8,test headline
Competition,08/02/2021,4,test headline
Politics,08/02/2021,10,test headline
Competition,01/02/2021,5,test headline
Copyright,01/02/2021,1,test headline
Taxation,01/02/2021,2,test headline
Brand,01/02/2021,3,test headline
Privacy,01/02/2021,7,test headline
Censorship,01/02/2021,8,test headline
Behaviour,01/02/2021,4,test headline
Access,01/02/2021,6,test headline
Politics,01/02/2021,10,test headline
Content,01/02/2021,9,test headline
Access,25/01/2021,3,test headline
Brand,25/01/2021,2,test headline
Politics,25/01/2021,10,test headline
Behaviour,25/01/2021,8,test headline
Privacy,25/01/2021,6,test headline
Copyright,25/01/2021,1,test headline
Censorship,25/01/2021,5,test headline
Taxation,25/01/2021,4,test headline
Content,25/01/2021,9,test headline
Competition,25/01/2021,7,test headline
Brand,18/01/2021,4,test headline
Behaviour,18/01/2021,8,test headline
Competition,18/01/2021,5,test headline
Copyright,18/01/2021,2,test headline
Access,18/01/2021,3,test headline
Censorship,18/01/2021,7,test headline
Content,18/01/2021,9,test headline
Politics,18/01/2021,10,test headline
Privacy,18/01/2021,6,test headline
Taxation,18/01/2021,1,test headline
Behaviour,11/01/2021,5,test headline
Competition,11/01/2021,7,test headline
Content,11/01/2021,9,test headline
Brand,11/01/2021,4,test headline
Privacy,11/01/2021,6,test headline
Politics,11/01/2021,8,test headline
Censorship,11/01/2021,10,test headline
Copyright,11/01/2021,2,test headline
Access,11/01/2021,3,test headline
Taxation,11/01/2021,1,test headline
Politics,04/01/2021,7,test headline
Behaviour,04/01/2021,5,test headline
Copyright,04/01/2021,2,test headline
Taxation,04/01/2021,1,test headline
Access,04/01/2021,3,test headline
Competition,04/01/2021,6,test headline
Privacy,04/01/2021,8,test headline
Brand,04/01/2021,4,test headline
Content,04/01/2021,9,test headline
Censorship,04/01/2021,10,test headline
Competition,28/12/2020,6,test headline
Brand,28/12/2020,1,test headline
Content,28/12/2020,10,test headline
Censorship,28/12/2020,7,test headline
Behaviour,28/12/2020,5,test headline
Access,28/12/2020,4,test headline
Copyright,28/12/2020,3,test headline
Taxation,28/12/2020,2,test headline
Politics,28/12/2020,9,test headline
Privacy,28/12/2020,8,test headline
Competition,21/12/2020,8,test headline
Politics,21/12/2020,10,test headline
Censorship,21/12/2020,6,test headline
Content,21/12/2020,9,test headline
Taxation,21/12/2020,1,test headline
Brand,21/12/2020,3,test headline
Privacy,21/12/2020,5,test headline
Behaviour,21/12/2020,4,test headline
Access,21/12/2020,2,test headline
Copyright,21/12/2020,7,test headline
Politics,14/12/2020,10,test headline
Brand,14/12/2020,4,test headline
Censorship,14/12/2020,8,test headline
Copyright,14/12/2020,1,test headline
Access,14/12/2020,3,test headline
Content,14/12/2020,5,test headline
Behaviour,14/12/2020,6,test headline
Taxation,14/12/2020,2,test headline
Competition,14/12/2020,7,test headline
Privacy,14/12/2020,9,test headline
Brand,07/12/2020,2,test headline
Taxation,07/12/2020,1,test headline
Access,07/12/2020,4,test headline
Content,07/12/2020,8,test headline
Censorship,07/12/2020,6,test headline
Behaviour,07/12/2020,7,test headline
Privacy,07/12/2020,5,test headline
Copyright,07/12/2020,3,test headline
Competition,07/12/2020,10,test headline
Politics,07/12/2020,9,test headline
Brand,30/11/2020,2,test headline
Copyright,30/11/2020,1,test headline
Competition,30/11/2020,8,test headline
Taxation,30/11/2020,4,test headline
Censorship,30/11/2020,7,test headline
Content,30/11/2020,9,test headline
Politics,30/11/2020,10,test headline
Behaviour,30/11/2020,6,test headline
Access,30/11/2020,3,test headline
Privacy,30/11/2020,5,test headline
Brand,23/11/2020,3,test headline
Competition,23/11/2020,6,test headline
Taxation,23/11/2020,2,test headline
Privacy,23/11/2020,7,test headline
Politics,23/11/2020,10,test headline
Censorship,23/11/2020,8,test headline
Behaviour,23/11/2020,5,test headline
Copyright,23/11/2020,1,test headline
Content,23/11/2020,9,test headline
Access,23/11/2020,4,test headline
Taxation,16/11/2020,2,test headline
Competition,16/11/2020,7,test headline
Access,16/11/2020,5,test headline
Censorship,16/11/2020,9,test headline
Privacy,16/11/2020,4,test headline
Copyright,16/11/2020,1,test headline
Brand,16/11/2020,3,test headline
Content,16/11/2020,8,test headline
Behaviour,16/11/2020,6,test headline
Politics,16/11/2020,10,test headline
Privacy,09/11/2020,5,test headline
Competition,09/11/2020,4,test headline
Access,09/11/2020,3,test headline
Taxation,09/11/2020,1,test headline
Brand,09/11/2020,2,test headline
Politics,09/11/2020,10,test headline
Content,09/11/2020,8,test headline
Behaviour,09/11/2020,6,test headline
Copyright,09/11/2020,7,test headline
Censorship,09/11/2020,9,test headline
Brand,02/11/2020,3,test headline
Taxation,02/11/2020,2,test headline
Competition,02/11/2020,4,test headline
Censorship,02/11/2020,9,test headline
Access,02/11/2020,5,test headline
Politics,02/11/2020,10,test headline
Content,02/11/2020,8,test headline
Privacy,02/11/2020,7,test headline
Copyright,02/11/2020,1,test headline
Behaviour,02/11/2020,6,test headline
Access,26/10/2020,5,test headline
Behaviour,26/10/2020,6,test headline
Censorship,26/10/2020,10,test headline
Taxation,26/10/2020,1,test headline
Content,26/10/2020,8,test headline
Politics,26/10/2020,9,test headline
Privacy,26/10/2020,4,test headline
Copyright,26/10/2020,2,test headline
Brand,26/10/2020,3,test headline
Competition,26/10/2020,7,test headline
Competition,19/10/2020,10,test headline
Taxation,19/10/2020,2,test headline
Copyright,19/10/2020,1,test headline
Brand,19/10/2020,4,test headline
Content,19/10/2020,6,test headline
Privacy,19/10/2020,3,test headline
Access,19/10/2020,7,test headline
Censorship,19/10/2020,8,test headline
Politics,19/10/2020,9,test headline
Behaviour,19/10/2020,5,test headline
